14	28
Sommets du graphe
0	0.05 0.7	M1	kjnjzenf
1	0.05 0.3	M1	dfkezoao
2	0.2	0.9	M1	aodls
3	0.2	0.5	M1	ampcnqq
4	0.2	0.1	M1	Paris
5	0.4	0.7	M1	adzodSS
6	0.4	0.5	M1	Grenoble
7	0.4	0.3	M1	Grenoble
8	0.6	0.9	M1	JDZHIUZZ
9	0.6	0.5	M1	Ly on
10	0.6	0.1	M1	Lyon
11	0.8	0.7	M1	zefuiefhziezzhu
12	0.8	0.3	M1	Marseille
13	0.95 0.5	M1	Grenoble
Arcs du graphe : depart arrivee valeur
0	1	2.3
0	3	4.4
1	4	2.66
2	0	3.0
3	1	1.8
3	2	2.8
3	5	2.1
4	3	3.2
4	7	4.4
5	2	1.5
5	8	1.6
5	3	4.6
6	4	2.3
6	5	3.7
6	9	8.5
7	6	1.5
7	10	4.1
8	2	5.2
9	10	1.0
9	11	1.7
9	5	2.4
9	8	3.53
10	12	2.3
11	8	5.5
12	9	3.7
12	13	4.3
12	11	6.3
13	11	2.0
